Heads of Expenditure,1990-91 ,1995-96 ,1996-97 ,1997-98 ,1998-99 ,1999-2000 ,2000-01 ,2001-02 ,2002-03 ,2003-04 (RE),2003-04 ,2004-05 (BE),2004-05 (RE),2004-05 ,2005-06 (BE),2005-06 (RE),2005-06 ,2006-07 (BE),2006-07 (RE),2006-07 ,2007-08 (BE),2007-08 (RE),2007-08 ,2008-09 (BE),2008-09 (R.E.) ,2008-09 ,2009-10 (B.E.),2009-10 (R.E.),2009-10 ,2010-11 (B.E.),2010-11 (R.E.),2010-11 ,2011-12 (B.E.),2011-12 (R.E.),2011-12 ,2012-13 (B.E.),2012-13 (R.E.),2012-13 ,2013-14 (B.E.),2013-14 (R.E.),2013-14 ,2014-15 (B.E.),2014-15 (RE),2015-16 (BE)
A. NON-DEVELOPMENTAL EXPENDITURE,64367.59,142801.36,159215.68,184817.72,221502.25,263222.13,285892.56,320327.43,351859.71,392659.6,382819.83,428502.85,425646.89,424724.2,467179.13,469122.31,461045.16,507204.55,517442.8,514349.4,564171.04,584664.31,562163.93,651149.05,694840.98,678301.14,822735.22,826915.18,836229.71,886819.39,944854.53,922761.08,1009202.59,1045863.53,1045649.98,1187192.97,1196554.91,1156287,1362554.59,1366761,1349620,1547374,1558245,1708108
1. Interest payments,25006,58944.49,69930.96,78551.39,92591.97,110050.69,122791.75,140889.88,154398.54,179788.77,176372.66,190517.28,188643.41,192367.33,208379.32,205989.51,206390.28,226624.33,232054.86,233019.74,252701.03,266244.41,249195.25,289956.87,280741.52,277637.55,322355.52,318492.04,317286.76,359988.34,359886.42,351145.13,401185.71,408354.74,403234.98,469591.93,465128.68,457550,539033.59,546880,537468,615553,599570,670904
2. Appropriation for reduction or avoidance of debt,550.48,1066.19,1319.29,1438.03,1687.45,1137.41,1515.63,1824.59,2045.9,2818.18,2647.45,4438.56,4680.79,4616.39,5391.1,6399.3,6441.38,6639.61,7726.18,7509.25,7211.95,7188.37,6164.6,6815.12,6255.6,6252.58,8158.69,8369.96,4154.82,11314.71,4335.46,3873.85,5285.24,3341.09,11812.76,5553.67,13207.48,12761,15422.9,12757,12081,14642,13029,15022
3. Defence services (net),10874.12,18841.17,20996.7,26174.57,29861.64,35215.94,37237.99,38058.83,40708.98,43393.68,43203.19,43517.15,43517.15,43862.11,48624.86,48624.86,48211.11,51542,51542,51681.36,54078,54795,54219.32,57593,73600,73304.8,86879,88440,90668.72,87344,90748.43,92060.73,95216.68,104793,103010.91,113828.66,108924.89,111277,116931.41,124800,124374,134412,140405,152139
4. Organs of State,1088.09,2646.02,2925.06,3748.18,3719.69,4975.61,4260.71,4628.47,4959.65,6087.21,5580.74,7450.42,8011.37,7174.83,6416.31,6962.51,6167.73,7590.3,7891.43,7169.21,8148.45,8066.45,7192.56,8939.58,10404.11,9443.4,13737.88,14175.19,13373.09,12412.39,16177.49,14161.65,17086.07,18868.81,16571.69,18993.18,19250.94,16965,21380.08,22314,19881,26687,27911,27659
5. Fiscal services,2723.12,6645.66,5295.03,6118.65,7217.78,7908.5,7898.37,8790.28,8899.16,10504.74,9772.87,10950.12,11186.63,10544.38,11834.18,12222.14,11023.32,11676.78,12083.23,10928.21,12804.55,13505.61,12324.57,14592.5,16573.28,15165.33,19472.73,20221.99,18890.89,21264.11,21626.71,20668.43,24009.68,24679.42,23373.78,27309.23,28135.73,26884,31017.26,30451,30367,36108,35094,38039
a) Tax collection charges,1973.32,5223.7,4079.36,4925.43,5915.03,6522.41,6569.73,7514.33,7594.2,9091.89,8354.19,9503.61,9631.6,9006.45,10052.68,10523.66,9697.46,11121.57,11609.83,10489.88,12349.15,13060.97,11895.32,14244.18,16217.09,14857.78,19092.73,19893.49,18490.08,20945.95,21221.31,20204.61,23601.3,24261.81,22971.38,26723.57,27699.19,26489,30545.29,30032,29995,35626,34592,37292
"b) Currency, coinage and mint",230.34,492.29,521.46,538.57,623.54,714.2,672.63,556.64,540.91,580.66,585.7,683.32,647.3,610.44,820.31,801.77,526.22,0.67,0,0,0,0,0,0,0,0,0,0,-,0,-,0,-,0,0,0,0,0,0,0,1,0,0,0
c) Others,519.46,929.67,694.21,654.65,679.21,671.89,656.01,719.31,764.05,832.19,832.98,763.19,907.73,927.49,961.19,896.71,799.64,554.54,473.4,438.33,455.4,444.64,429.25,348.32,356.19,307.55,380,328.5,400.81,318.16,405.4,463.82,408.38,417.61,402.4,585.66,436.54,395,471.97,419,372,482,501,747
6. Administrative services,9375.81,18437.15,20700.87,23936.26,28187.6,33155.95,34897.41,38118.76,39761.73,44078.5,43551.16,49599.92,51127.7,46653.87,58741.63,55837.67,52703.35,63366.04,63186.22,58571.68,72067.03,69312.14,63845.98,87241.41,84994.37,79600.15,107438.18,103510.42,103104.85,115286.72,118494.09,112110.65,139428.53,137967.6,130209.21,161985.59,153934.89,146061,177851.99,174999,163392,200295,199462,224169
a) Police,5657.25,11240.88,12871.27,15292.41,17681.65,21123.89,21342.95,23640.66,25058.3,27400.89,26851.85,29622.66,31138.39,29874.53,33584.74,34339.23,33506.37,37261.67,38754.07,37464.9,40691.27,42014.18,39742.54,46364.12,52938.02,51399.11,64216.79,64500.65,67829.79,68033.08,78542.18,77103.31,87454.4,92578.41,89814.89,102976.65,105165.9,101881,117958.91,119591,115217,132175,134442,146244
b) External affairs,444.98,851.35,941.42,981.27,1276.72,1219.5,1380.54,1602.4,1843.61,1845.39,1800.06,1976.68,2076.86,1869.43,2033.06,2080.23,2037.44,2076.28,2257.72,2261.19,1879.24,2300.45,2181.32,2211.95,3338.49,3266.07,3445.84,3393.11,3303.78,3479.37,3530.62,3476.37,3505.48,3851.6,3835.65,4039.85,4097.8,4134,4248.2,4271,4450,4806,4962,5307
c) Others,3273.58,6344.92,6888.18,7662.58,9229.23,10812.56,12173.92,12875.7,12859.82,14832.22,14899.25,18000.58,17912.45,14909.91,23123.83,19418.21,17159.54,24028.09,22174.43,18845.59,29496.52,24997.51,21922.12,38665.34,28717.86,24934.97,39775.55,35616.66,31971.28,43774.27,36421.29,31530.97,48468.65,41537.59,36558.67,54969.09,44671.19,40047,55644.88,51136,43725,63314,60058,72617
7. Pension & other retirement benefits,5183.75,12169.62,14936.06,18544.59,26261.54,37017.63,38818.67,40321.2,43037.56,48417.73,45226.76,55059.1,55105.22,55436.72,59752.15,62729.73,60871.14,68938.89,70067.94,69068.5,77853.34,80315.46,77634.2,87926.79,97002.25,94667.62,119385.75,124773.78,139551.19,132537.05,160086.09,165958.27,171659.34,178232.38,189265.22,204078.44,207977.69,214602,233604.73,238328,238370,269388,268874,305050
